"id","type","hostname","fqdn","probe","is_ipv4_only","ip_v4","as_v4","ip_v6","as_v6","city","country","company","nic_handle","geometry_type","latitude","longitude","tlsa_record","is_disabled","date_live","date_decommissioned","hardware_version","geom"
1990,"Anchor","uk-lon-as199524","uk-lon-as199524.anchors.atlas.ripe.net",6670,False,"92.223.59.77",199524,"2a03:90c0:144::32",199524,"London","GB","G-Core Labs S.A.","NA6392-RIPE","Point","51.499732","-0.01484","",False,"2019-11-27 00:20:04",NULL,99,"0101000020E6100000159161156F648EBFE161DA37F7BF4940"
1991,"Anchor","it-pcz-as201333","it-pcz-as201333.anchors.atlas.ripe.net",6675,False,"185.78.49.100",201333,"2a02:4720:0:13::100",201333,"Piacenza","IT","Naquadria Srl","","Point","45.0500362","9.738335","",False,"2019-11-29 12:20:04",NULL,99,"0101000020E6100000FCFB8C0B077A2340DD4E119667864640"
1994,"Anchor","pl-wrs-as8308","pl-wrs-as8308.anchors.atlas.ripe.net",6731,False,"195.187.36.10",8308,"2001:a10:e0:5::2",8308,"Warsaw","PL","NASK PIB","","Point","52.1312777","21.065737","",False,"2020-01-30 02:20:01.204278",NULL,99,"0101000020E61000001C23D923D4103540D8182AB5CD104A40"
1995,"Anchor","pl-ktw-as35277","pl-ktw-as35277.anchors.atlas.ripe.net",6672,False,"91.243.43.19",35277,"2a04:bc40:1dc2::2",35277,"Katowice","PL","LLhost Inc","","Point","50.2537707","19.0021872","",False,"2019-11-28 04:20:48",NULL,99,"0101000020E6100000467820578F0033406D97EC8E7B204940"
1996,"Anchor","us-dls-as15169","us-dls-as15169.anchors.atlas.ripe.net",6698,True,"104.196.238.136",15169,NULL,NULL,"The Dalles","US","Google","","Point","45.5945645","-121.1786823","",False,"2019-12-30 22:20:01",NULL,99,"0101000020E6100000F1B7E2876F4B5EC0696E85B01ACC4640"
1997,"Anchor","tw-chw-as15169","tw-chw-as15169.anchors.atlas.ripe.net",6700,True,"34.80.84.64",15169,NULL,NULL,"Chang-Hua","TW","Google","","Point","24.0517963","120.5161352","",False,"2019-12-31 14:20:00",NULL,99,"0101000020E61000001F14EF5B08215E40C68DB685420D3840"
1998,"Anchor","hk-hkg-as15169","hk-hkg-as15169.anchors.atlas.ripe.net",6706,True,"35.241.102.186",15169,NULL,NULL,"Hong Kong","HK","Google","","Point","22.3193039","114.1693611","",False,"2020-01-02 10:20:00",NULL,99,"0101000020E6100000BC6DF0CFD68A5C403AFC7FE6BD513640"
1999,"Anchor","jp-tyo-as15169","jp-tyo-as15169.anchors.atlas.ripe.net",6703,True,"34.85.95.162",15169,NULL,NULL,"Tokyo","JP","Google","","Point","35.6803997","139.7690174","",False,"2020-01-01 10:20:00",NULL,99,"0101000020E6100000C2E160CA9B786140A7DA5D5617D74140"
2000,"Anchor","jp-osa-as15169","jp-osa-as15169.anchors.atlas.ripe.net",6704,True,"34.97.153.243",15169,NULL,NULL,"Osaka","JP","Google","","Point","34.6937249","135.5022535","",False,"2020-01-01 18:20:01",NULL,99,"0101000020E6100000A699EE7512F06040DFF53EFACB584140"
2001,"Anchor","in-bom-as15169","in-bom-as15169.anchors.atlas.ripe.net",6705,True,"34.93.255.24",15169,NULL,NULL,"Mumbai","IN","Google","","Point","19.0759837","72.8776559","",False,"2020-01-02 02:20:00",NULL,99,"0101000020E61000000DE9A6832B3852407187F2AA73133340"
